year,rank,team,engine,points,outof,race1,race2,race3,race4,race5,race6,race7,race8,race9,race10,race11,race12,race13,race14,race15,race16,race17,race18,race19,race20,race21
1958,1,"Vanwall","",48,57,-,8,8,(6),(3),8,8,,,,,,,,,,,,,,
1958,2,"Ferrari","",40,57,6,6,(2),6,8,8,(3),6,,,,,,,,,,,,,
1958,3,"Cooper","Climax",31,,8,8,3,-,-,4,6,-,,,,,,,,,,,,,
1958,4,"BRM","",18,,2,6,2,-,2,-,3,,,,,,,,,,,,,,
1958,5,"Maserati","",6,,3,-,-,-,3,-,-,-,,,,,,,,,,,,,
1958,6,"Lotus","Climax",3,,-,-,3,-,-,-,-,,,,,,,,,,,,,,
1959,1,"Cooper","Climax",40,53,8,(6),(4),8,(3),8,,,,,,,,,,,,,,,
1959,2,"Ferrari","",32,38,6,(2),8,8,(4),,,,,,,,,,,,,,,,
1959,3,"BRM","",18,,-,8,-,6,2,,,,,,,,,,,,,,,,
1959,4,"Lotus","Climax",5,,-,3,-,-,-,-,,,,,,,,,,,,,,,
1960,1,"Cooper","Climax",48,58,8,(6),8,8,8,8,8,,,,,,,,,,,,,,
1960,2,"Lotus","Climax",34,37,(1),8,6,2,(2),6,,,,,,,,,,,,,,,
1960,3,"Ferrari","",26,27,6,4,2,3,-,(1),,,,,,,,,,,,,,,
1960,4,"BRM","",8,,-,2,4,-,-,-,,,,,,,,,,,,,,,
1960,5,"Cooper","Maserati",3,,3,-,-,-,-,-,,,,,,,,,,,,,,,
1960,6,"Cooper","Castellotti",3,,-,-,,,,,,,,,,,,,,,,,,,
1960,7,"Porsche","",1,,,,,,,,,,,,,,,,,,,,,,
1961,1,"Ferrari","",40,52,(6),8,8,8,8,(6),,,,,,,,,,,,,,,
1961,2,"Lotus","Climax",32,,8,4,-,4,-,8,,,,,,,,,,,,,,,
1961,3,"Porsche","",22,23,2,-,(1),6,2,-,,,,,,,,,,,,,,,
1961,4,"Cooper","Climax",14,18,(1),(1),2,2,3,(2),,,,,,,,,,,,,,,
1961,5,"BRM","Climax",7,,-,-,-,1,-,-,,,,,,,,,,,,,,,
1962,1,"BRM","",42,56,9,(1),6,(4),(3),9,9,,,,,,,,,,,,,,
1962,2,"Lotus","Climax",36,38,6,-,9,-,9,3,-,,,,,,,,,,,,,,
1962,3,"Cooper","Climax",29,37,(2),9,-,6,4,(2),(4),,,,,,,,,,,,,,
1962,4,"Lola","Climax",19,,-,3,2,2,6,6,-,,,,,,,,,,,,,,
1962,5,"Porsche","",18,19,1,2,-,9,-,4,(1),,,,,,,,,,,,,,
1962,6,"Ferrari","",18,,4,6,4,-,-,1,,,,,,,,,,,,,,,
1962,7,"Brabham","Climax",6,,-,,,,,,,,,,,,,,,,,,,,
1962,8,"Lotus","BRM",1,,-,-,-,-,-,,,,,,,,,,,,,,,,
1963,1,"Lotus","Climax",54,74,(1),9,9,9,9,(6),9,(4),,,,,,,,,,,,,
1963,2,"BRM","",36,45,9,(3),(2),-,4,4,6,9,,,,,,,,,,,,,
1963,3,"Brabham","Climax",28,30,-,4,6,3,-,-,(2),3,,,,,,,,,,,,,
1963,4,"Ferrari","",26,,3,-,4,-,6,9,-,2,,,,,,,,,,,,,
1963,5,"Cooper","Climax",25,26,4,6,-,6,-,(1),4,-,,,,,,,,,,,,,
1963,6,"BRP","BRM",6,,-,3,-,-,3,,,,,,,,,,,,,,,,
1963,7,"Porsche","",5,,1,-,-,3,-,1,,,,,,,,,,,,,,,
1963,8,"Lotus","BRM",4,,-,-,-,1,1,2,-,-,,,,,,,,,,,,,
1964,1,"Ferrari","",45,49,-,6,-,-,(4),9,9,9,,,,,,,,,,,,,
1964,2,"BRM","",42,51,9,(3),(3),6,6,6,6,(3),,,,,,,,,,,,,
1964,3,"Lotus","Climax",37,40,4,9,9,3,9,-,-,(1),,,,,,,,,,,,,
1964,4,"Brabham","Climax",30,,-,1,4,9,3,-,4,-,,,,,,,,,,,,,
1964,5,"Cooper","Climax",16,,2,-,6,1,1,-,-,6,,,,,,,,,,,,,
1964,6,"Brabham","BRM",7,,-,-,-,-,3,-,-,,,,,,,,,,,,,,
1964,7,"BRP","BRM",5,,-,-,-,-,-,2,2,,,,,,,,,,,,,,
1964,8,"Lotus","BRM",3,,1,2,-,-,-,-,-,-,,,,,,,,,,,,,
1965,1,"Lotus","Climax",54,58,9,-,9,9,9,9,9,-,,,,,,,,,,,,,
1965,2,"BRM","",45,61,(4),9,6,6,6,(6),(6),9,,,,,,,,,,,,,
1965,3,"Brabham","Climax",27,31,-,-,3,(3),(1),4,4,4,,,,,,,,,,,,,
1965,4,"Ferrari","",26,27,6,6,-,4,4,-,(1),3,,,,,,,,,,,,,
1965,5,"Cooper","Climax",14,,2,2,4,-,-,-,3,2,,,,,,,,,,,,,
1965,6,"Honda","",11,,-,1,-,-,1,-,-,,,,,,,,,,,,,,
1965,7,"Brabham","BRM",5,,-,1,-,1,-,-,-,-,,,,,,,,,,,,,
1965,8,"Lotus","BRM",2,,-,-,-,-,-,-,-,1,,,,,,,,,,,,,
1966,1,"Brabham","Repco",42,49,-,(3),9,9,9,9,(4),,,,,,,,,,,,,,
1966,2,"Ferrari","",31,32,6,9,6,-,(1),1,,,,,,,,,,,,,,,
1966,3,"Cooper","Maserati",30,35,-,6,3,(2),-,6,(3),,,,,,,,,,,,,,
1966,4,"BRM","",22,,9,-,-,4,6,3,-,,,,,,,,,,,,,,
1966,5,"Lotus","BRM",13,,-,-,-,-,2,-,2,,,,,,,,,,,,,,
1966,6,"Lotus","Climax",8,,-,-,-,3,4,-,-,,,,,,,,,,,,,,
1966,7,"Eagle","Climax",4,,-,-,2,-,-,-,-,,,,,,,,,,,,,,
1966,8,"Honda","",3,,-,,,,,,,,,,,,,,,,,,,,
1966,9,"McLaren","Ford",2,,-,-,-,-,-,,,,,,,,,,,,,,,,
1966,10,"Brabham","Climax",1,,-,-,-,-,-,,,,,,,,,,,,,,,,
1966,11,"Brabham","BRM",1,,-,1,-,-,,,,,,,,,,,,,,,,,
1966,12,"McLaren","Serenissima",1,,-,-,,,,,,,,,,,,,,,,,,,
1967,1,"Brabham","Repco",63,67,3,9,6,-,9,6,9,9,6,,,,,,,,,,,,
1967,2,"Lotus","Ford Cosworth",44,,9,1,-,9,-,3,4,,,,,,,,,,,,,,
1967,3,"Cooper","Maserati",28,,9,2,-,3,3,2,2,-,3,,,,,,,,,,,,
1967,4,"Honda","",20,,4,-,-,-,-,1,3,9,,,,,,,,,,,,,
1967,5,"Ferrari","",20,,4,3,4,-,4,4,1,-,,,,,,,,,,,,,
1967,6,"BRM","",17,,-,1,-,6,4,-,-,2,2,,,,,,,,,,,,
1967,7,"Eagle","Weslake",13,,-,-,-,9,-,-,-,4,-,,,,,,,,,,,,
1967,8,"Lotus","BRM",6,,-,6,-,,,,,,,,,,,,,,,,,,
1967,9,"Cooper","Climax",6,,,,,,,,,,,,,,,,,,,,,,
1967,10,"McLaren","BRM",3,,3,-,-,-,-,,,,,,,,,,,,,,,,
1967,11,"Brabham","Climax",2,,2,-,-,-,,,,,,,,,,,,,,,,,
1968,1,"Lotus","Ford Cosworth",62,,9,9,9,2,-,-,9,6,-,3,,,,,,,,,,,
1968,2,"McLaren","Ford Cosworth",49,,6,2,9,-,2,3,-,9,9,,,,,,,,,,,,
1968,3,"Matra","Ford Cosworth",45,,1,2,-,3,9,4,1,9,6,1,,,,,,,,,,,
1968,4,"Ferrari","",32,,3,-,4,3,9,6,3,4,-,,,,,,,,,,,,
1968,5,"BRM","",28,,-,-,6,6,4,1,-,1,3,4,,,,,,,,,,,
1968,6,"Honda","",14,,-,-,-,-,-,6,2,-,-,-,,,,,,,,,,,
1968,7,"Cooper","BRM",14,,4,4,1,-,3,-,-,-,2,,,,,,,,,,,,
1968,8,"Brabham","Repco",10,,4,-,-,-,2,-,-,4,-,-,,,,,,,,,,,
1968,9,"Matra","",8,,-,-,6,-,-,-,2,-,,,,,,,,,,,,,
1968,10,"McLaren","BRM",3,,2,-,-,-,-,-,-,1,,,,,,,,,,,,,
1969,1,"Matra","Ford Cosworth",66,,9,9,-,9,9,9,6,9,3,,,,,,,,,,,,
1969,2,"Brabham","Ford Cosworth",49,51,-,1,6,2,4,6,9,(2),9,,,,,,,,,,,,
1969,3,"Lotus","Ford Cosworth",47,,6,-,9,6,1,3,3,6,4,,,,,,,,,,,,
1969,4,"McLaren","Ford Cosworth",38,40,4,6,(2),3,3,4,4,3,2,,,,,,,,,,,,
1969,5,"BRM","",7,,-,2,-,-,-,-,-,-,,,,,,,,,,,,,
1969,6,"Ferrari","",7,,-,-,-,4,-,-,-,1,-,,,,,,,,,,,,
1970,1,"Lotus","Ford Cosworth",59,,2,3,9,-,9,9,9,9,-,-,-,,,,,,,,,,
1970,2,"Ferrari","",52,55,-,-,-,3,4,-,3,6,9,9,9,,,,,,,,,,
1970,3,"March","Ford Cosworth",48,,4,9,-,6,6,6,2,-,-,6,4,,,,,,,,,,
1970,4,"Brabham","Ford Cosworth",35,,9,-,6,2,-,4,6,2,4,2,-,,,,,,,,,,
1970,5,"McLaren","Ford Cosworth",35,,6,6,3,-,1,3,4,4,-,3,1,,,,,,,,,,
1970,6,"BRM","",23,,-,-,1,9,-,-,-,-,3,-,3,,,,,,,,,,
1970,7,"Matra","",23,,3,-,4,4,2,2,-,1,1,4,-,,,,,,,,,,
1970,8,"Surtees","Ford Cosworth",3,,-,-,-,-,2,,,,,,,,,,,,,,,,
1971,1,"Tyrrell","Ford Cosworth",73,,6,9,9,-,9,9,9,-,4,,,,,,,,,,,,
1971,2,"BRM","",36,,-,3,-,6,3,-,-,9,9,,,,,,,,,,,,
1971,3,"Ferrari","",33,,9,6,4,9,-,-,4,-,-,,,,,,,,,,,,
1971,4,"March","Ford Cosworth",33,34,-,-,6,3,-,6,2,(1),6,,,,,,,,,,,,
1971,5,"Lotus","Ford Cosworth",21,,3,-,2,-,4,4,-,6,-,,,,,,,,,,,,
1971,6,"McLaren","Ford Cosworth",10,,1,2,3,-,-,-,-,-,-,,,,,,,,,,,,
1971,7,"Matra","",9,,2,4,-,-,2,-,-,-,1,,,,,,,,,,,,
1971,8,"Surtees","Ford Cosworth",8,,-,-,1,2,-,2,-,-,3,,,,,,,,,,,,
1971,9,"Brabham","Ford Cosworth",5,,-,-,-,-,-,-,1,4,-,,,,,,,,,,,,
1972,1,"Lotus","Ford Cosworth",61,,-,6,9,4,9,6,9,-,9,9,,,,,,,,,,,
1972,2,"Tyrrell","Ford Cosworth",51,,9,-,-,3,6,9,6,-,-,-,,,,,,,,,,,
1972,3,"McLaren","Ford Cosworth",47,49,6,9,2,2,4,-,4,(2),6,4,,,,,,,,,,,
1972,4,"Ferrari","",33,,4,3,6,6,-,-,1,9,-,-,,,,,,,,,,,
1972,5,"Surtees","Ford Cosworth",18,,2,-,3,-,3,1,-,-,3,6,,,,,,,,,,,
1972,6,"March","Ford Cosworth",15,,1,2,1,-,2,2,-,4,-,-,,,,,,,,,,,
1972,7,"BRM","",14,,-,-,-,9,-,-,-,3,1,1,,,,,,,,,,,
1972,8,"Matra","",12,,-,-,-,1,1,4,3,-,2,-,,,,,,,,,,,
1972,9,"Brabham","Ford Cosworth",7,,-,1,-,-,-,-,-,1,-,2,,,,,,,,,,,
1973,1,"Lotus","Ford Cosworth",92,96,9,9,4,9,(4),6,6,9,6,-,1,9,9,,,,,,,,
1973,2,"Tyrrell","Ford Cosworth",82,86,6,6,9,6,9,9,(4),6,2,9,9,6,3,,,,,,,,
1973,3,"McLaren","Ford Cosworth",58,,2,4,6,3,-,2,9,-,9,3,4,-,4,,,,,,,,
1973,4,"Brabham","Ford Cosworth",22,,1,-,-,-,3,-,3,4,1,-,2,3,1,,,,,,,,
1973,5,"March","Ford Cosworth",14,,-,-,-,-,-,-,-,1,3,4,-,-,-,,,,,,,,
1973,6,"Ferrari","",12,,3,3,3,-,-,-,1,2,-,-,-,-,-,,,,,,,,
1973,7,"BRM","",12,,-,1,-,2,2,-,-,-,-,2,-,2,-,,,,,,,,
1973,8,"Shadow","Ford Cosworth",9,,-,1,4,-,-,-,-,-,-,-,-,-,,,,,,,,,
1973,9,"Surtees","Ford Cosworth",7,,-,-,-,-,-,-,-,-,-,-,3,4,-,,,,,,,,
1973,10,"Iso-Marlboro","Ford Cosworth",2,,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,,
1973,11,"Tecno","",1,,1,-,-,-,-,-,-,,,,,,,,,,,,,,
1974,1,"McLaren","Ford Cosworth",73,75,9,9,4,4,9,(2),3,4,1,6,-,6,6,,,,,,,,
1974,2,"Ferrari","",65,,6,6,-,9,6,3,-,9,6,3,9,2,-,,,,,,,,
1974,3,"Tyrrell","Ford Cosworth",52,,1,-,3,2,4,6,9,2,3,9,6,-,4,,,,,,,,
1974,4,"Lotus","Ford Cosworth",42,,-,4,-,-,-,9,-,-,9,4,3,-,9,,,,,,,,
1974,5,"Brabham","Ford Cosworth",35,,-,-,9,-,-,1,-,-,-,1,4,9,2,,,,,,,,
1974,6,"Hesketh","Ford Cosworth",15,,-,-,-,-,4,-,-,-,-,4,-,,,,,,,,,,
1974,7,"BRM","",10,,2,-,6,-,2,-,-,-,-,-,-,-,-,,,,,,,,
1974,8,"Shadow","Ford Cosworth",7,,-,-,-,-,-,4,2,-,-,-,1,-,-,,,,,,,,
1974,9,"March","Ford Cosworth",6,,-,-,2,3,-,-,-,-,-,-,-,1,-,,,,,,,,
1974,10,"Iso-Marlboro","Ford Cosworth",4,,-,-,1,-,-,-,-,-,-,-,-,-,3,,,,,,,,
1974,11,"Surtees","Ford Cosworth",3,,-,3,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
1974,12,"Lola","Ford Cosworth",1,,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,
1975,1,"Ferrari","",72.50,,3,3,2,-,9,9,9,6,9,-,4,0.5,9,,,,,,,,
1975,2,"Brabham","Ford Cosworth",54,56,4,9,6,(2),4,4,6,3,-,6,9,-,,,,,,,,,
1975,3,"McLaren","Ford Cosworth",53,,9,6,1,4.5,6,-,-,-,4,9,-,1.5,,,,,,,,,
1975,4,"Hesketh","Ford Cosworth",33,,6,1,-,-,-,-,-,9,6,3,-,3,,,,,,,,,
1975,5,"Tyrrell","Ford Cosworth",25,,2,-,9,-,2,6,-,-,1,4,-,-,,,,,,,,,
1975,6,"Shadow","Ford Cosworth",9.50,,-,-,-,1.5,-,1,-,1,-,-,3,2,1,,,,,,,,
1975,7,"Lotus","Ford Cosworth",9,,-,-,-,3,3,-,-,-,-,-,-,1,,,,,,,,,
1975,8,"March","Ford Cosworth",7.50,,-,-,-,1,-,-,-,-,-,2,-,4.5,-,,,,,,,,
1975,9,"Williams","Ford Cosworth",6,,-,-,-,-,-,-,-,-,-,-,6,-,,,,,,,,,
1975,10,"Parnelli","Ford Cosworth",5,,-,-,-,-,-,3,2,-,-,-,,,,,,,,,,,
1975,11,"Hill","Ford Cosworth",3,,-,-,-,1,-,-,-,2,-,,,,,,,,,,,,
1975,12,"Penske","Ford Cosworth",2,,-,-,-,-,-,-,2,-,,,,,,,,,,,,,
1975,13,"Ensign","Ford Cosworth",1,,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,
1976,1,"Ferrari","",83,,9,9,9,6,9,9,4,-,9,-,-,6,6,1,,,,,,,
1976,2,"McLaren","Ford Cosworth",74,75,1,6,2,9,(1),2,2,9,-,9,3,9,-,9,,,,,,,
1976,3,"Tyrrell","Ford Cosworth",71,,6,3,4,-,3,6,9,6,6,6,-,2,2,6,,,,,,,
1976,4,"Lotus","Ford Cosworth",29,,-,-,-,4,-,-,-,2,-,2,4,4,-,4,,,,,,,
1976,5,"Penske","Ford Cosworth",20,,-,2,-,-,-,-,-,4,4,-,9,-,-,-,,,,,,,
1976,6,"Ligier","Matra",20,,-,-,3,-,4,-,3,-,-,-,6,-,4,-,,,,,,,
1976,7,"March","Ford Cosworth",19,,3,-,-,-,-,3,-,-,-,-,1,1,9,-,,,,,,,
1976,8,"Shadow","Ford Cosworth",10,,4,-,-,-,-,-,-,-,3,-,-,3,-,-,,,,,,,
1976,9,"Brabham","Alfa Romeo",9,,-,-,-,3,-,-,-,3,-,3,-,-,-,-,,,,,,,
1976,10,"Surtees","Ford Cosworth",7,,-,-,-,2,-,-,-,2,-,-,-,-,-,,,,,,,,
1976,11,"Copersucar","Ford Cosworth",3,,-,-,1,-,-,1,-,-,1,-,-,-,-,-,,,,,,,
1976,12,"Ensign","Ford Cosworth",2,,-,-,2,-,-,-,-,-,-,-,-,-,-,,,,,,,,
1976,13,"Parnelli","Ford Cosworth",1,,,,,,,,,,,,,,,,,,,,,,
1977,1,"Ferrari","",95,97,4,9,9,6,6,6,6,4,(2),6,9,6,9,6,3,,,,,,
1977,2,"Lotus","Ford Cosworth",62,,2,2,-,9,9,2,9,1,9,4,-,-,-,9,6,,,,,,
1977,3,"McLaren","Ford Cosworth",60,,-,6,3,-,3,3,-,6,4,9,-,1,-,3,9,,,,,,
1977,4,"Wolf","Ford Cosworth",55,,9,-,6,4,4,9,-,-,-,-,6,-,4,-,4,,,,,,
1977,5,"Brabham","Alfa Romeo",27,,6,-,1,-,1,-,1,2,6,2,4,4,-,-,-,,,,,,
1977,6,"Tyrrell","Ford Cosworth",27,,-,-,4,3,-,-,4,3,-,-,-,2,-,1,-,,,,,,
1977,7,"Shadow","Ford Cosworth",23,,-,1,-,-,-,1,2,-,-,-,-,9,-,4,-,,,,,,
1977,8,"Ligier","Matra",18,,-,-,-,-,-,-,-,9,-,1,-,-,6,-,-,,,,,,
1977,9,"Copersucar","Ford Cosworth",11,,3,3,-,2,-,-,-,-,-,-,-,-,3,-,,,,,,,
1977,10,"Ensign","Ford Cosworth",10,,1,-,-,-,-,-,-,-,-,-,1,-,2,2,2,,,,,,
1977,11,"Surtees","Ford Cosworth",6,,-,-,-,-,-,-,3,-,-,-,2,-,-,-,-,,,,,,
1977,12,"Penske","Ford Cosworth",1,,1,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
1978,1,"Lotus","Ford Cosworth",86,,9,3,9,6,-,9,9,4,9,-,9,9,9,1,,,,,,,
1978,2,"Ferrari","",58,,-,9,-,9,-,4,-,-,-,9,-,4,1,4,,,,,,,
1978,3,"Brabham","Alfa Romeo",53,,6,4,4,-,6,-,2,9,3,6,-,-,4,9,,,,,,,
1978,4,"Tyrrell","Ford Cosworth",38,,4,1,6,4,9,1,-,-,-,3,2,6,-,-,,,,,,,
1978,5,"Wolf","Ford Cosworth",24,,-,-,-,-,4,-,3,-,1,-,6,-,-,-,,,,,,,
1978,6,"Ligier","Matra",19,,-,-,2,2,-,2,4,-,-,-,4,2,-,3,,,,,,,
1978,7,"Copersucar","Ford Cosworth",17,,-,6,-,-,-,-,-,1,-,-,3,3,2,-,,,,,,,
1978,8,"McLaren","Ford Cosworth",15,,3,-,-,-,-,-,1,3,4,1,-,-,-,2,,,,,,,
1978,9,"Williams","Ford Cosworth",11,,-,-,3,-,-,-,-,-,2,-,-,-,-,-,,,,,,,
1978,10,"Arrows","Ford Cosworth",11,,-,-,1,1,-,-,6,-,-,-,-,-,-,,,,,,,,
1978,11,"Shadow","Ford Cosworth",6,,-,2,-,-,-,-,-,2,-,2,-,-,-,-,,,,,,,
1978,12,"Renault","",3,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
1978,13,"Surtees","Ford Cosworth",1,,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
1978,14,"Ensign","Ford Cosworth",1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
1979,1,"Ferrari","",113,,-,3,15,15,3,9,9,6,2,3,9,6,15,,,,,,,,
1979,2,"Williams","Ford Cosworth",75,,-,-,-,4,-,-,6,4,9,15,11,9,4,,,,,,,,
1979,3,"Ligier","Ford Cosworth",61,,12,15,-,2,9,6,2,-,1,4,4,6,-,,,,,,,,
1979,4,"Lotus","Ford Cosworth",39,,8,4,5,3,10,3,4,-,-,-,-,-,2,,,,,,,,
1979,5,"Tyrrell","Ford Cosworth",28,,-,3,4,1,3,4,-,2,4,-,-,-,1,,,,,,,,
1979,6,"Renault","",26,,-,-,-,-,-,-,-,13,6,-,1,-,-,,,,,,,,
1979,7,"McLaren","Ford Cosworth",15,,4,-,-,-,-,1,3,-,3,2,-,-,-,,,,,,,,
1979,8,"Brabham","Alfa Romeo",7,,-,-,1,-,-,-,-,-,-,-,-,,,,,,,,,,
1979,9,"Arrows","Ford Cosworth",5,,-,-,-,-,-,2,1,-,-,1,-,1,-,,,,,,,,
1979,10,"Shadow","Ford Cosworth",3,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
1979,11,"ATS","Ford Cosworth",2,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
1979,12,"Copersucar","Ford Cosworth",1,,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
1980,1,"Williams","Ford Cosworth",120,,9,4,2,-,10,9,10,13,10,10,3,10,,,,,,,,,
1980,2,"Ligier","Ford Cosworth",66,,-,3,10,1,9,6,10,-,9,3,4,1,,,,,,,,,
1980,3,"Brabham","Ford Cosworth",55,,6,-,3,9,-,4,3,6,3,2,9,9,,,,,,,,,
1980,4,"Renault","",38,,-,9,9,-,3,-,2,-,-,9,6,-,,,,,,,,,
1980,5,"Lotus","Ford Cosworth",14,,-,6,-,-,-,-,-,-,-,1,-,3,,,,,,,,,
1980,6,"Tyrrell","Ford Cosworth",12,,3,-,-,-,2,-,-,5,-,-,2,-,,,,,,,,,
1980,7,"Arrows","Ford Cosworth",11,,-,1,1,6,-,3,-,-,-,-,-,-,,,,,,,,,
1980,8,"Fittipaldi","Ford Cosworth",11,,4,-,-,4,-,1,-,-,-,-,-,2,,,,,,,,,
1980,9,"McLaren","Ford Cosworth",11,,1,2,-,3,-,-,-,1,-,-,1,-,,,,,,,,,
1980,10,"Ferrari","",8,,-,-,-,2,1,2,-,-,1,-,-,-,,,,,,,,,
1980,11,"Alfa Romeo","",4,,2,-,-,-,-,-,-,-,2,-,-,-,,,,,,,,,
1981,1,"Williams","Ford Cosworth",95,,15,15,9,4,9,6,3,-,6,-,5,4,10,,,,,,,,
1981,2,"Brabham","Ford Cosworth",61,,4,-,9,12,-,-,-,4,2,12,4,9,1,,,,,,,,
1981,3,"Renault","",54,,-,-,6,-,-,-,-,12,-,6,6,9,9,,,,,,,,
1981,4,"Ligier","Matra",44,,-,1,-,-,6,4,6,-,4,4,9,-,-,,,,,,,,
1981,5,"Ferrari","",34,,-,-,-,2,3,12,9,2,-,-,-,-,2,,,,,,,,
1981,6,"McLaren","Ford Cosworth",28,,-,-,-,1,-,-,4,6,9,1,1,-,-,,,,,,,,
1981,7,"Lotus","Ford Cosworth",22,,-,2,1,-,6,-,3,1,-,-,-,2,3,,,,,,,,
1981,8,"Arrows","Ford Cosworth",10,,-,4,-,6,-,-,-,-,-,-,-,-,-,,,,,,,,
1981,9,"Alfa Romeo","",10,,3,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
1981,10,"Tyrrell","Ford Cosworth",10,,2,-,-,-,1,2,-,-,3,2,-,-,-,,,,,,,,
1981,11,"Ensign","Ford Cosworth",5,,-,3,-,-,-,1,-,-,-,-,-,1,-,,,,,,,,
1981,12,"Theodore","Ford Cosworth",1,,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
1981,13,"ATS","Ford Cosworth",1,,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,,
1982,1,"Ferrari","",74,,-,1,-,15,-,6,4,-,9,10,7,9,3,-,,,,,,,
1982,2,"McLaren","Ford Cosworth",69,,4,6,10,9,-,9,4,3,9,-,-,2,4,,,,,,,,
1982,3,"Renault","",62,,13,9,-,-,-,-,-,-,-,1,15,6,-,6,,,,,,,
1982,4,"Williams","Ford Cosworth",58,,8,-,6,6,1,5,-,6,2,2,4,6,9,,,,,,,,
1982,5,"Lotus","Ford Cosworth",30,,-,4,2,3,5,-,3,-,3,-,-,9,1,,,,,,,,
1982,6,"Tyrrell","Ford Cosworth",25,,-,3,3,4,-,-,-,-,-,-,1,3,-,-,,,,,,,
1982,7,"Brabham","BMW",22,,-,2,-,-,9,6,-,-,-,-,5,,,,,,,,,,
1982,8,"Ligier","Matra",20,,-,-,-,4,-,7,-,-,-,-,-,4,-,,,,,,,,
1982,9,"Brabham","Ford Cosworth",19,,-,4,9,,,,,,,,,,,,,,,,,,
1982,10,"Alfa Romeo","",7,,-,-,-,-,-,4,-,1,-,-,-,2,-,-,,,,,,,
1982,11,"Arrows","Ford Cosworth",5,,-,-,-,-,-,-,2,1,-,-,1,1,-,,,,,,,,
1982,12,"ATS","Ford Cosworth",4,,-,2,-,2,-,-,-,-,-,-,-,-,-,-,,,,,,,
1982,13,"Osella","Ford Cosworth",3,,-,-,-,3,-,-,-,-,-,-,-,-,-,-,,,,,,,
1982,14,"Fittipaldi","Ford Cosworth",1,,-,-,-,1,-,-,-,-,-,-,-,-,-,,,,,,,,
1983,1,"Ferrari","",89,,2,4,3,13,3,6,-,13,6,9,6,15,9,,,,,,,,
1983,2,"Renault","",79,,-,-,13,6,4,13,-,8,9,3,12,-,4,,,,,,,,
1983,3,"Brabham","BMW",72,,9,-,6,-,6,3,3,-,6,4,4,-,9,,,,,,,,
1983,4,"Williams","Ford Cosworth",36,,3,3,3,3,9,3,8,3,-,1,-,-,,,,,,,,,
1983,5,"McLaren","Ford Cosworth",34,,4,15,-,2,-,-,4,1,1,2,1,,,,,,,,,,
1983,6,"Alfa Romeo","",18,,-,-,-,-,1,-,-,-,-,6,-,2,-,,,,,,,,
1983,7,"Tyrrell","Ford Cosworth",12,,-,-,-,-,2,-,9,-,-,-,-,1,-,,,,,,,,
1983,8,"Lotus","Renault",11,,-,-,-,-,-,-,-,3,-,2,-,2,,,,,,,,,
1983,9,"Toleman","Hart",10,,-,-,-,-,-,-,-,-,-,-,-,3,1,,,,,,,,
1983,10,"Arrows","Ford Cosworth",4,,1,2,-,1,-,-,-,-,-,-,-,-,-,,,,,,,,
1983,11,"Williams","",2,,2,,,,,,,,,,,,,,,,,,,,
1983,12,"Theodore","Ford Cosworth",1,,-,1,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
1983,13,"Lotus","Ford Cosworth",1,,-,-,-,-,-,-,,,,,,,,,,,,,,,
1984,1,"McLaren","TAG Porsche",143.50,,9,15,-,9,9,4.5,10,3,-,9,15,9,15,9,12,,,,,,
1984,2,"Ferrari","",57.50,,-,-,13,6,3,2.5,2,-,6,3,1,4,-,6,8,,,,,,
1984,3,"Lotus","Renault",47,,4,-,2,4,6,1,4,6,5,3,3,-,7,-,,,,,,,
1984,4,"Brabham","BMW",38,,-,-,-,-,-,-,9,13,-,-,-,9,2,-,,,,,,,
1984,5,"Renault","",34,,2,4,6,3,6,-,-,-,-,6,6,-,1,-,,,,,,,
1984,6,"Williams","",25.50,,6,-,3,-,1,1.5,-,2,12,-,-,-,-,-,-,,,,,,
1984,7,"Toleman","Hart",16,,-,1,1,-,-,3,-,-,-,4,-,-,-,3,,,,,,,
1984,8,"Alfa Romeo","",11,,3,3,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,
1984,9,"Ligier","Renault",3,,-,2,-,1,-,-,-,-,-,-,-,-,-,-,,,,,,,
1984,10,"Arrows","Ford Cosworth",3,,1,-,-,2,-,-,,,,,,,,,,,,,,,
1984,11,"Arrows","BMW",3,,-,-,-,-,-,-,-,-,-,3,-,-,,,,,,,,,
1984,12,"Osella","Alfa Romeo",2,,-,-,-,-,-,-,-,-,2,-,-,-,-,-,,,,,,,
